Scenario,Attribute,Process,Period,Region,Vintage,Timeslice,Pv
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_KY_US_WV,2020,WV,0,-,2.996277
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_AR_US_OK,2020,OK,0,-,4.2114130137
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_IA_US_SD,2020,IA,0,-,1.494105
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_AR_US_OK,2020,AR,0,-,4.2114130137
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_AR_US_MS,2020,MS,0,-,1.662681
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_IA_US_NE,2020,NE,0,-,4.3985782
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_AR_US_MS,2020,AR,0,-,1.662681
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_KY_US_WV,2020,KY,0,-,2.996277
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_AR_US_MO,2020,MO,0,-,3.6966347469
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_AR_US_MO,2020,AR,0,-,3.6966347469
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_IA_US_NE,2020,IA,0,-,4.3985782
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_AR_US_LA,2020,LA,0,-,4.0999342
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_KY_US_VA,2020,VA,0,-,0.40248107606
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_AR_US_LA,2020,AR,0,-,4.0999342
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_IA_US_MO,2020,MO,0,-,0.863823354499999
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_AL_US_TN,2020,TN,0,-,1.349144969
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_KY_US_VA,2020,KY,0,-,0.40248107606
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_AL_US_TN,2020,AL,0,-,1.349144969
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_IA_US_MO,2020,IA,0,-,0.863823354499999
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_AL_US_MS,2020,MS,0,-,4.92987883499999
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_AL_US_MS,2020,AL,0,-,4.92987883499999
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_IA_US_MN,2020,MN,0,-,1.37634351
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_KY_US_TN,2020,TN,0,-,8.34824087999999
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_AL_US_GA,2020,GA,0,-,6.0582711
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_AL_US_GA,2020,AL,0,-,6.0582711
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_AL_US_FL,2020,FL,0,-,2.856881
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_IA_US_MN,2020,IA,0,-,1.37634351
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_KY_US_TN,2020,KY,0,-,8.34824087999999
